ID,Expediente Nº,Año,Localidad,Elementos
8538,1363,2010,TRELEW,1 equipo de sonido
8539,2755,2010,RAWSON,20 PC y 40 Licencias originales - Windows 7 Home Basic
8540,1200,2010,TRELEW,1 impresora
8541,3519,2010,ESQUEL,1 fotocopiadora
8542,3513,2010,ESQUEL,1 freezer
8545,863,2010,EPUYEN,"4 Televisores de 29"""
8547,29,2010,BUEN PASTO,30 bicicletas
8550,1070,2010,TRELEW,1 PC
8551,1070,2010,TRELEW, 1 impresora
8552,4214,2010,GAIMAN,100 sillas plasticas
8553,3717,2010,ALDEA APELEG,1 fotocopiadora
8554,3717,2010,ALDEA APELEG,1 fax
8555,3717,2010,ALDEA APELEG,"1 TV 29"""
8556,3717,2010,ALDEA APELEG,1 DVD
8557,3717,2010,ALDEA APELEG,2 planchas
8558,2580,2010,PTO MADRYN,1 impresora
8559,2580,2010,PTO MADRYN,1 PC
8560,2580,2010,PTO MADRYN,"1 freezer, 2 máquinas de coser"
8561,2579,2010,PTO MADRYN,1 impresora
8562,2580,2010,PTO MADRYN,1 fotocopiadora
8563,2579,2010,PTO MADRYN,1 PC
8564,3395,2010,GAN GAN,1 autoclave
8565,3289,2010,RIO MAYO,1 notebook
8566,3714,2010,TRELEW,1 grupo electrógeno
8567,134,2010,RAWSON,1 cocina a gas
8568,4110,2010,TRELEW,50 sillas plasticas apilables
8569,4110,2010,TRELEW,1 impresora
8570,4110,2010,TRELEW,1 PC
8572,2577,2010,COMODORO RIVADAVIA,100 sillas plásticas apilables
8573,2566,2010,COMODORO RIVADAVIA,"50 sillas plasticas apilables, 1 freezer, 1 heladera con freezer"
8574,4632,2010,COMODORO RIVADAVIA,1 freezer
8575,3211,2010,COMODORO RIVADAVIA,"10 pelotas de volley, 1 armario"
8576,3211,2010,COMODORO RIVADAVIA,1 impresora
8577,4631,2010,COMODORO RIVADAVIA,1 notebook
8578,4632,2010,COMODORO RIVADAVIA,50 sillas plasticas apilables
8579,4654,2010,COMODORO RIVADAVIA,1 equipo de sonido
8580,4662,2010,COMODORO RIVADAVIA,"1 calefactor, 1 equipo de sonido"
8581,4629,2010,COMODORO RIVADAVIA,3 PC
8582,4625,2010,COMODORO RIVADAVIA,1 impresora
8583,4634,2010,COMODORO RIVADAVIA,"1 equipo de aire acondicionado, 1 freezer"
8584,4623,2010,COMODORO RIVADAVIA,1 equipo de sonido
8585,4630,2010,COMODORO RIVADAVIA,1 maquina de coser
8586,4628,2010,COMODORO RIVADAVIA,"1 cocina industrial, 1 equipo de sonido"
8587,4613,2010,COMODORO RIVADAVIA,100 sillas plasticas apilables
8588,4661,2010,COMODORO RIVADAVIA,1 fax
8589,4661,2010,COMODORO RIVADAVIA,5 sillas
8590,4617,2010,COMODORO RIVADAVIA,50 sillas plasticas apilables
8591,4650,2010,COMODORO RIVADAVIA,50 sillas plasticas
8592,4599,2010,COMODORO RIVADAVIA,"1 multiprocesadora, 1 picadora de carne"
8593,4652,2010,COMODORO RIVADAVIA,9 tablones
8594,4652,2010,COMODORO RIVADAVIA,"18 caballetes, 1 sobadora"
8595,4652,2010,COMODORO RIVADAVIA,100 sillas plasticas
8596,3212,2010,COMODORO RIVADAVIA,1 PC
8597,3212,2010,COMODORO RIVADAVIA,1 impresora
8598,4636,2010,COMODORO RIVADAVIA,1 fotocopiadora
8599,4215,2010,COMODORO RIVADAVIA,1 PC
8600,3555,2010,COMODORO RIVADAVIA,1 fotocopiadora
8601,3211,2010,COMODORO RIVADAVIA,1 PC
8602,4598,2010,COMODORO RIVADAVIA,1 fotocopiadora
8603,4655,2010,COMODORO RIVADAVIA,2 mesas plasticas
8604,3470,2010,RADA TILLY,1 cortadora de cesped
8605,3470,2010,RADA TILLY,"1 Tv de 29"""
8606,3470,2010,RADA TILLY,1 DVD
8607,4650,2010,COMODORO RIVADAVIA,18 Caballetes
8608,4650,2010,COMODORO RIVADAVIA,9 tablones
8609,4434,2010,COMODORO RIVADAVIA,1 notebook
8610,4635,2010,COMODORO RIVADAVIA,1 cocina industrial
8611,4624,2010,COMODORO RIVADAVIA,1 fotocopiadora
8612,4613,2010,RADA TILLY,1 freezer
8613,4621,2010,COMODORO RIVADAVIA,1 heladera c/freezer
8614,4617,2010,COMODORO RIVADAVIA,5 mesas plasticas
